Case ID,Suspect,Variable,Value,Description,Solution
C3472,John,Motive,None,Suspect's motive for the crime,Mary
C9582,Mary,Location,Kitchen,Location of the crime,John
C5351,Alice,Location,Living Room,Location of the crime,Peter
C1603,Peter,Weapon,Knife,Murder weapon,John
C7165,Alice,Weapon,Gun,Murder weapon,John
C3196,John,Opportunity,Medium,Suspect's opportunity to commit the crime,Alice
C5266,Alice,Opportunity,High,Suspect's opportunity to commit the crime,Mary
C9452,Peter,Weapon,Poison,Murder weapon,John
C3244,Alice,Weapon,Poison,Murder weapon,John
C1514,John,Weapon,Gun,Murder weapon,Mary
C6268,John,Weapon,Knife,Murder weapon,John
C8014,John,Location,Living Room,Location of the crime,John
C7237,Alice,Motive,Greed,Suspect's motive for the crime,Mary
C7740,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C4789,Peter,Location,Kitchen,Location of the crime,Alice
C1311,Alice,Weapon,Gun,Murder weapon,Peter
C2665,Mary,Opportunity,High,Suspect's opportunity to commit the crime,Peter
C3732,Peter,Location,Bedroom,Location of the crime,Mary
C2734,John,Weapon,Fists,Murder weapon,Peter
C6017,John,Location,Garden,Location of the crime,John
C3133,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C2267,Mary,Location,Garden,Location of the crime,Alice
C4316,Mary,Location,Kitchen,Location of the crime,Mary
C6104,Alice,Weapon,Knife,Murder weapon,John
C9932,Peter,Weapon,Fists,Murder weapon,John
C4873,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,John
C2478,Peter,Motive,Revenge,Suspect's motive for the crime,Mary
C4673,John,Motive,Greed,Suspect's motive for the crime,Alice
C4027,Alice,Motive,None,Suspect's motive for the crime,John
C6248,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C6029,Peter,Motive,Jealousy,Suspect's motive for the crime,Alice
C2296,Peter,Opportunity,Low,Suspect's opportunity to commit the crime,Mary
C9429,Peter,Opportunity,High,Suspect's opportunity to commit the crime,Peter
C9641,Alice,Weapon,Poison,Murder weapon,Peter
C2345,Peter,Motive,Jealousy,Suspect's motive for the crime,Mary
C9617,Peter,Motive,None,Suspect's motive for the crime,Peter
C6937,Mary,Motive,Jealousy,Suspect's motive for the crime,John
C2543,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,John
C4336,Mary,Motive,None,Suspect's motive for the crime,Mary
C7594,Mary,Motive,Jealousy,Suspect's motive for the crime,John
C9650,Mary,Location,Living Room,Location of the crime,Alice
C4947,Peter,Weapon,Knife,Murder weapon,Alice
C7697,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C3729,Mary,Weapon,Fists,Murder weapon,John
C1924,John,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C9837,Alice,Motive,None,Suspect's motive for the crime,John
C1593,John,Location,Garden,Location of the crime,John
C7123,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,Mary
C5647,Mary,Motive,Greed,Suspect's motive for the crime,Alice
C9375,Alice,Location,Garden,Location of the crime,Mary
C4418,Mary,Weapon,Fists,Murder weapon,Mary
C9683,Peter,Weapon,Fists,Murder weapon,John
C7572,John,Location,Kitchen,Location of the crime,Peter
C3628,Alice,Opportunity,Low,Suspect's opportunity to commit the crime,Peter
C3936,John,Motive,Greed,Suspect's motive for the crime,Mary
C9382,John,Weapon,Poison,Murder weapon,Peter
C9793,Mary,Opportunity,Low,Suspect's opportunity to commit the crime,Alice
C4200,Alice,Motive,Greed,Suspect's motive for the crime,Peter
C4948,Peter,Motive,Revenge,Suspect's motive for the crime,Peter
C1980,Mary,Location,Garden,Location of the crime,Peter
C7393,Alice,Opportunity,High,Suspect's opportunity to commit the crime,Mary
C7508,Peter,Location,Garden,Location of the crime,John
C6770,Alice,Weapon,Gun,Murder weapon,Peter
C4833,Peter,Weapon,Poison,Murder weapon,Peter
C7737,Mary,Motive,Greed,Suspect's motive for the crime,Alice
C8035,Peter,Opportunity,High,Suspect's opportunity to commit the crime,John
C9074,Peter,Opportunity,High,Suspect's opportunity to commit the crime,Mary
C3695,John,Weapon,Gun,Murder weapon,Peter
C1072,Alice,Weapon,Fists,Murder weapon,Mary
C6790,Peter,Location,Kitchen,Location of the crime,John
C5546,Mary,Weapon,Gun,Murder weapon,Mary
C4973,Alice,Location,Bedroom,Location of the crime,John
C2865,John,Location,Bedroom,Location of the crime,Alice
C4510,Mary,Location,Kitchen,Location of the crime,Alice
C9836,Peter,Motive,Greed,Suspect's motive for the crime,Alice
C9886,Mary,Opportunity,Medium,Suspect's opportunity to commit the crime,Alice
C7516,Mary,Location,Living Room,Location of the crime,John
C2286,Alice,Location,Bedroom,Location of the crime,Mary
C3082,Peter,Opportunity,Medium,Suspect's opportunity to commit the crime,John
C8892,Mary,Location,Living Room,Location of the crime,Mary
C9064,John,Location,Living Room,Location of the crime,Mary
